Latitude,Longitude,Methane (CH4) emissions metric tons carbon equivalent,Industry Type (sectors),Facility Name,Address,City,State,Zip Code,County
38.02,-122.12,4155,"Petroleum Product Suppliers,Refineries",MARTINEZ REFINING COMPANY LLC,3485 PACHECO BLVD,MARTINEZ,CA,94553,CONTRA COSTA COUNTY
30.40,-88.19,4138.25,Petroleum and Natural Gas Systems,GULFSTREAM STATION 410 (a.k.a. STATION 100),6301 ROCK ROAD,CODEN,AL,36523,MOBILE COUNTY
39.59,-78.75,4138,"Power Plants,Suppliers of CO2",AES Warrior Run,11600 MEXICO FARMS RD SE,CUMBERLAND,MD,21502,Allegany
31.85,-102.45,4137.5,Petroleum and Natural Gas Systems,OWT CS Ector County Compressor Station,2299 S FM 1936,Goldsmith,TX,79741,
33.83,-80.62,4134.5,Power Plants,Wateree,142 WATEREE STATION ROAD,EASTOVER,SC,29044,Richland
42.55,-114.48,4132.75,"Other,Waste",Lamb Weston Twin Falls,856 Russet Street,Twin Falls,ID,83301,TWIN FALLS COUNTY
40.90,-91.97,4114,Petroleum and Natural Gas Systems,ANR Pipeline Birmingham CS,2795 LOCUST AVE,BIRMINGHAM,IA,52535,JEFFERSON COUNTY
29.33,-92.16,4095.25,Petroleum and Natural Gas Systems,VR 52 C_1882,,Offshore,LA,0,
42.04,-71.30,4094.25,Waste,PLAINVILLE LANDFILL,14 BELCHER STREET,PLAINVILLE,MA,2762,NORFOLK COUNTY
46.44,-89.82,4080,Petroleum and Natural Gas Systems,Great Lakes Gas Transmission Pipeline Wakefield CS#7,400 Great Lakes Road,WAKEFIELD,MI,49968,GOGEBIC COUNTY
35.42,-99.28,4076.25,Petroleum and Natural Gas Systems,Canute (El Paso) Compressor Station,11769 N 2069 Rd.,Canute,OK,73626,
42.30,-96.36,4064.5,Power Plants,George Neal South,2761 PORT NEAL CIRCLE,SALIX,IA,51052,Woodbury
35.76,-117.38,4051.25,Other,Searles Valley Minerals,13200 Main Street,Trona,CA,93562,SAN BERNARDINO COUNTY
32.36,-91.86,4049,Petroleum and Natural Gas Systems,Alto Compressor Station,2779 Hwy 135,Rayville,LA,71269,
39.86,-108.92,4046.75,"Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",UGC - DRAGON TRAIL GAS PLANT - 08-103-00036,3606 COUNTY ROAD 116,RANGELY,CO,81648,RIO BLANCO COUNTY
