Latitude,Longitude,Methane (CH4) emissions metric tons carbon equivalent,Industry Type (sectors),Facility Name,Address,City,State,Zip Code,County
39.92,-80.46,2268589,Other,Bailey Mine-Crabapple Portal,192 Crabapple Rd.,Wind Ridge,PA,15380,GREENE COUNTY
39.82,-80.60,2101900.75,Other,Marshall County Mine,57 Goshorn Woods Road,Cameron,WV,26033,MARSHALL COUNTY
40.08,-80.36,2080109.75,Other,Enlow Fork Mine,2041 Pleasant Grove Rd.,Claysville,PA,15323,WASHINGTON COUNTY
33.26,-87.31,1780104,Other,"Warrior Met Coal, LLC",16243 Hwy 216,Brookwood,AL,35444,TUSCALOOSA COUNTY
39.80,-80.16,1652962.75,Other,"Iron Cumberland, LLC",855 Kirby Road,Waynesburg,PA,15370,GREENE COUNTY
39.58,-80.36,1621172.5,Other,Marion County Mine,151 Jonny Cake Branch Rd,Metz,WV,26585,MARION COUNTY
37.21,-81.92,1335979.25,Other,Buchanan Mine #1,1636 Honaker Branch Road,Raven,VA,24639,BUCHANAN COUNTY
39.97,-80.41,1311203,Other,Harvey Mine,,Richhill,PA,15380,GREENE COUNTY
36.97,-82.60,1056296.5,Other,Deep Mine 41,5703 Crutchfield Drive,Norton,VA,24273,WISE COUNTY
39.71,-80.29,1021519.75,Other,Monongalia County Mine,,Monongalia County,WV,25760,MONONGALIA COUNTY
33.45,-87.04,895161.25,Other,OAK GROVE MINE,8800 OAK GROVE MINE ROAD,ADGER,AL,35006,JEFFERSON COUNTY
34.96,-78.45,824567.75,Waste,"SAMPSON COUNTY DISPOSAL, LLC",7434 ROSEBORO HIGHWAY,ROSEBORO,NC,28382,SAMPSON COUNTY
37.78,-81.27,796995.25,Other,"ICG Beckley, LLC",2221 Old Eccles Road,Eccles,WV,25836,RALEIGH COUNTY
34.32,-84.25,772982.5,Waste,"EAGLE POINT LANDFILL, LLC",8880 OLD FEDERAL RD,BALL GROUND,GA,30107,FORSYTH COUNTY
38.86,-87.42,736777.5,Other,Oaktown Fuels Mine No.1,12661 North Agricare Road,Oaktown,IN,47561,KNOX COUNTY
36.80,-108.44,724563.75,Other,San Juan Mine,300 CR 6800,Waterflow,NM,87421,SAN JUAN COUNTY
40.15,-80.66,685946,Other,"Tunnel Ridge, LLC",2596 Battle Run Road,Triadelphia,WV,26059,OHIO COUNTY
39.97,-80.55,679714.5,Other,Ohio County Mine,,Dallas,WV,26036,MARSHALL COUNTY
40.51,-81.54,634660,Waste,Kimble Sanitary Landfill,3596 SR 39 NW,Dover,OH,44622,TUSCARAWAS COUNTY
39.18,-80.05,612664,Other,LEER SOUTH MINING COMPLEX,21550 BARBOUR COUNTY HIGHWAY,PHILIPPI,WV,26416,BARBOUR COUNTY
38.86,-87.42,611014.5,Other,Oaktown Fuels Mine No. 2,12661 North Agricare Road,Oaktown,IN,47561,KNOX COUNTY
40.43,-80.91,573366.25,Waste,"APEX ENVIRONMENTAL, LLC - SANITARY LANDFILL (0641000223)",11 COUNTY ROAD 78,AMSTERDAM,OH,43903,JEFFERSON COUNTY
28.40,-80.82,554933,Waste,BREVARD CO BOARD OF COUNTY COMMISSIONERS,2250 ADAMSON ROAD,COCOA,FL,32926,BREVARD COUNTY
38.35,-87.56,536330.5,Other,"Gibson County Coal, LLC",RR #3 Lyles Station Rd.,Princeton,IN,47670,GIBSON COUNTY
26.79,-80.14,533625.75,Waste,Palm Beach Renewable Energy Park (PBREP),7501 N. JOG ROAD,WEST PALM BEACH,FL,33412,PALM BEACH COUNTY
38.17,-88.60,521655.5,Other,White Oak Resources Mine No. 1/Hamilton County Coal,,Dahlgren,IL,62828,HAMILTON COUNTY
33.33,-87.33,510766,Other,Warrior Met Coal Mine #4,,Brookwood,AL,35444,TUSCALOOSA COUNTY
43.17,-83.84,505545.5,Waste,BRENT RUN LANDFILL,8335  VIENNA RD.,MONTROSE,MI,48457,GENESEE COUNTY
28.02,-81.84,467045.5,Waste,Polk County - North Central Landfill,10 Environmental Loop south,Winter Haven,FL,33880,POLK COUNTY
38.03,-88.76,466389,Other,"Sugar Camp Energy, LLC",11351 N. Thompsonville Rd.,Macedonia,IL,62860,FRANKLIN COUNTY
39.52,-80.44,455235,Other,Harrison County Mine,71 Camp Run Rd,Mannington,WV,26582,MARION COUNTY
33.24,-87.65,452070.25,Waste,BLACK WARRIOR SOLID WASTE DISPOSAL AUHORITY,3301 LANDFILL DRIVE,COKER,AL,35452,TUSCALOOSA COUNTY
40.97,-82.49,444195,Waste,NOBLE ROAD LANDFILL (0370000134),170 NOBLE ROAD EAST,SHILOH,OH,44878,RICHLAND COUNTY
44.75,-93.01,442606.5,"Other,Waste",Rosemount Industrial Waste Facility,13425 Courthouse Blvd,Rosemount,MN,55414,DAKOTA COUNTY
33.94,-117.84,440492.25,Waste,OLINDA ALPHA LANDFILL,1942 VALENCIA AVE,BREA,CA,92823,ORANGE COUNTY
37.83,-88.84,426227.5,Other,Pond Creek No. 1 Mine,16468 Liberty School Road,Marion,IL,62959,WILLIAMSON COUNTY
36.76,-76.51,425296.5,Waste,SPSA Regional Landfill,1 Bob Foeller Drive,Suffolk,VA,23434,SUFFOLK CITY
32.53,-84.44,419754.75,Waste,W I TAYLOR COUNTY LANDFILL LLC,COUNTY ROAD 33,MAUK,GA,31058,MARION COUNTY
30.60,-91.22,403100.25,Waste,EBR NORTH LANDFILL,16001 SAMUELS RD,ZACHARY,LA,70791,EAST BATON ROUGE PARISH
32.68,-96.72,396326.75,Waste,McCommas Bluff Landfill,5555 Youngblood Road,Dallas,TX,75241,DALLAS COUNTY
33.51,-87.27,395425,Other,Shoal Creek Mine,654 Camp Creek Portal Rd,Oakman,AL,35579,TUSCALOOSA COUNTY
34.32,-118.50,381572.25,Waste,SUNSHINE CANYON LANDFILL,14747 SAN FERNANDO ROAD,SYLMAR,CA,91342,LOS ANGELES COUNTY
37.92,-81.83,379684.75,Other,Mingo Logan Coal LLC,"State Route 17, Mountain Laurel Drive",Sharples,WV,25183,LOGAN COUNTY
38.74,-90.46,376856.75,Waste,Champ Landfill,2305 Creve Coeur Mill Road,Maryland Heights,MO,63043,ST. LOUIS COUNTY
38.37,-82.76,350027.5,Waste,BIG RUN LANDFILL,1837 RIVER CITIES DR,ASHLAND,KY,41102,BOYD COUNTY
32.98,-102.82,345429.75,Petroleum and Natural Gas Systems,DENVER UNIT CO 2 RECOVERY PLANT,1.5 M N OF DENVER CITY ON SH 214,DENVER CITY,TX,79323,YOAKUM COUNTY
33.72,-117.70,336677.75,Waste,Frank R. Bowerman Landfill,11002 BEE CANYON ACCESS RD,IRVINE,CA,92602,ORANGE COUNTY
29.13,-81.07,336605.75,Waste,VOLUSIA SOLID WASTE MANAGEMENT DIVISION,1990 TOMOKA FARMS RD,PORT ORANGE,FL,32128,VOLUSIA COUNTY
27.89,-81.80,332525.75,Waste,Cedar Trails Class III,2500 State Road 60 West,Bartow,FL,33830,POLK COUNTY
39.13,-82.47,326743.75,Waste,BEECH HOLLOW SANITARY LANDFILL *,28 AW LONG ROAD,WELLSTON,OH,45692,JACKSON COUNTY
29.56,-95.44,317433.25,Waste,BLUE RIDGE LANDFILL,2200 FM 521,FRESNO,TX,77545,FORT BEND COUNTY
29.34,-98.65,314948.75,Waste,Covel Gardens Recycling and Disposal Facility,8611 Covel Road,San Antonio,TX,78252,BEXAR COUNTY
33.30,-96.54,314493.75,Waste,121 REGIONAL DISPOSAL FACILITY,3820 SAM RAYBURN HIGHWAY,MELISSA,TX,75454,COLLIN COUNTY
33.66,-84.26,307283,Waste,SEMINOLE ROAD MSW LANDFILL,4203 CLEVEMONT ROAD,ELLENWOOD,GA,30294,DEKALB COUNTY
42.16,-89.06,303362.75,Waste,WINNEBAGO LANDFILL,8403 LINDENWOOD RD,ROCKFORD,IL,61109,WINNEBAGO COUNTY
43.21,-78.98,294043.75,Waste,"MODERN LANDFILL, INC",1445 PLETCHER ROAD,MODEL CITY,NY,14107,NIAGARA COUNTY
34.04,-117.90,293641.5,Waste,BKK Corporation,2210 S. Azusa Ave.,West Covina,CA,91792,LOS ANGELES COUNTY
46.25,-122.78,288248.5,Waste,Cowlitz County Headquarters Landfill,3434 South Silver Lake Road,Castle Rock,WA,98611,COWLITZ COUNTY
29.95,-95.25,288162.5,Waste,ATASCOCITA RECYCLING AND DISPOSAL FACILITY,3623 WILSON ROAD,HUMBLE,TX,77396,HARRIS COUNTY
28.79,-81.08,286129.75,Waste,OSCEOLA LANDFILL,1930 OSCEOLA ROAD,GENEVA,FL,32732,SEMINOLE COUNTY
39.34,-79.98,278882.75,Other,Leer Mine,1200 Tygart Drive,Grafton,WV,26354,TAYLOR COUNTY
32.35,-93.90,272337.5,Waste,Woolworth Road Landfill,10580 Woolworth Road,Keithville,LA,71047,CADDO PARISH
36.70,-121.79,265711.5,Waste,Monterey Regional Waste Management District,14201 Del Monte Blvd,Marina,CA,93933,MONTEREY COUNTY
38.34,-87.43,263539.75,Other,Francisco Underground Mine,1225 North 725 E,Francisco,IN,47649,GIBSON COUNTY
31.98,-106.42,263063,Waste,McCOMBS LANDFILL,136000 McCombs,El Paso,TX,79934,EL PASO COUNTY
30.44,-87.77,257335.75,Waste,BALDWIN COUNTY SOLID WASTE,15140 COUNTY ROAD 49,SUMMERDALE,AL,36580,BALDWIN COUNTY
28.74,-82.09,255049.25,Waste,"A.C.M.S., Inc.",835 CR 529,Lake Panasoffkee,FL,33538,SUMTER COUNTY
30.04,-94.13,251792.75,Waste,CITY OF BEAUMONT LANDFILL,5895 LAFIN DR,BEAUMONT,TX,77705,JEFFERSON COUNTY
39.89,-80.19,250242.75,Other,"Iron Emerald, LLC",212 Mine Road,Waynesburg,PA,15370,GREENE COUNTY
33.35,-82.14,249193.25,Waste,DEANS BRIDGE RD MSW LANDFILL,4330 DEANS BRIDGE RD,BLYTHE,GA,30805,RICHMOND COUNTY
38.09,-81.53,246935.25,Other,American Eagle,"200 Remington Coal Lane, Coal Fork Hollow",Cabin Creek,WV,25035,KANAWHA COUNTY
38.28,-77.31,246807.5,Waste,KING GEORGE LANDFILL INC - WM,10376 BULLOCK DRIVE,KING GEORGE,VA,22485,KING GEORGE COUNTY
29.45,-98.35,246397.75,Waste,Tessman Road Landfill,7000 Interstate Hwy 10 East,San Antonio,TX,78219,BEXAR COUNTY
47.46,-122.05,244862,Waste,KING CNTY SOLID WST CEDAR HILLS LANDFILL,16645 228TH AVENUE SE,MAPLE VALLEY,WA,98038,KING COUNTY
26.29,-80.15,244508.75,Waste,Monarch Hill,2700 Wiles RD,POMPANO BEACH,FL,33073,BROWARD COUNTY
27.87,-82.67,244444.75,Waste,PINELLAS COUNTY RESOURCE RECOVERY,3001-110TH AVENUE NORTH,ST. PETERSBURG,FL,33716,PINELLAS COUNTY
45.80,-120.18,244325.5,Waste,ROOSEVELT REGIONAL LANDFILL,500 ROOSEVELT GRADE ROAD,ROOSEVELT,WA,99356,KLICKITAT COUNTY
38.93,-107.45,244019.25,Other,West Elk Mine,5174 Highway 133,Somerset,CO,81434,GUNNISON COUNTY
29.40,-95.72,241705.25,Waste,FORT BEND REGIONAL LANDFILL,14115 Davis Estate Road,NEEDVILLE,TX,77461,FORT BEND COUNTY
29.94,-90.27,241418.5,Waste,RIVER BIRCH LANDFILL,2000 S KENNER ROAD,AVONDALE,LA,70094,JEFFERSON PARISH
36.52,-82.54,237682.25,"Chemicals,Waste",Eastman Chemical Company,EASTMAN ROAD AND LINCOLN ST,KINGSPORT,TN,37662,Sullivan
29.82,-95.24,235665,Waste,MCCARTY ROAD LANDFILL TX,5757 OATES RD,HOUSTON,TX,77078,HARRIS COUNTY
37.38,-87.61,235161.25,Other,"Warrior Coal, LLC",57 J.E Ellis Rd.,Madisonville,KY,42431,HOPKINS COUNTY
39.27,-84.60,230155.75,Waste,Rumpke Sanitary Landfill,10795 Hughes Rd,Cincinnati,OH,45251,HAMILTON COUNTY
34.57,-82.46,229978.25,Waste,Anderson Regional Landfill,203 Landfill Road,Belton,SC,29627,ANDERSON COUNTY
33.82,-78.97,229271.5,Waste,HORRY COUNTY SOLID WASTE AUTHORITY INCORPORATED,1886 HIGHWAY 90,CONWAY,SC,29526,HORRY COUNTY
37.95,-83.95,229185.25,Waste,RUMPKE OF KENTUCKY INC,30 LARISON RD,JEFFERSONVILLE,KY,40337,MONTGOMERY COUNTY
32.52,-85.83,228873.75,Waste,STONE'S THROW LANDFILL,1303 WASHINGTON BLVD,TALLASSEE,AL,36078,TALLAPOOSA COUNTY
39.73,-82.14,228136,Waste,Tunnel Hill Reclamation,8822 Tunnel Hill Rd.,New Lexington,OH,43764,PERRY COUNTY
39.08,-82.96,227138.5,Waste,PIKE SANITATION INC,11775 STATE ROUTE 220,WAVERLY,OH,45690,PIKE COUNTY
31.60,-106.17,226817,Waste,CLINT LANDFILL,2300 DARRINGTON RD.,EL PASO,TX,79928,EL PASO COUNTY
45.63,-120.22,226457,Waste,WASTE MANAGEMENT DISPOSAL SERVICES OF OREGON,18177 CEDAR SPRINGS LANE,ARLINGTON,OR,97812,GILLIAM COUNTY
35.56,-84.91,224058.75,Waste,Rhea County Landfill,207 Sanitary Drive,Dayton,TN,37321,RHEA COUNTY
32.55,-96.67,223491.75,Waste,WASTE MANAGEMENT SKYLINE LANDFILL,1201 N CENTRAL AVE,FERRIS,TX,75125,DALLAS COUNTY
40.25,-74.11,218182.5,Waste,MONMOUTH COUNTY RECLAMATION CENTER,6000 ASBURY AVE,TINTON FALLS,NJ,7753,MONMOUTH COUNTY
37.80,-79.99,217559.25,"Pulp and Paper,Waste","WestRock Virginia, Covington",104 EAST RIVERSIDE ST,COVINGTON,VA,24426,Alleghany
34.69,-86.59,215686.25,Waste,SOLID WASTE DISPOSAL AUTHORITY,4100 LEEMAN FERRY ROAD,HUNTSVILLE,AL,35804,MADISON COUNTY
42.41,-83.56,213747.75,Waste,VEOLIA ES ARBOR HILLS LANDFILL,10690 W. SIX MILE RD,NORTHVILLE,MI,48167,WASHTENAW COUNTY
39.73,-75.52,213309.75,Waste,DE SOLID WASTE AUTHORITY CHERRY ISLAND,1706 E. 12TH STREET,WILMINGTON,DE,19809,NEW CASTLE COUNTY
40.62,-78.91,212787.5,Other,Heilwood Mine,6314 Route 403 Hwy S,Heilwood,PA,15745,
33.71,-86.86,210821,Waste,Jefferson County Landfill No.1,101 Barber Blvd,Gardendale,AL,35071,JEFFERSON COUNTY
39.84,-83.11,210671.5,Waste,FRANKLIN COUNTY SANITARY LANDFILL,3851 LONDON GROVEPORT RD,GROVE CITY,OH,43123,FRANKLIN COUNTY
31.51,-86.00,209650.75,Waste,COFFEE LANDFILL,7733 HIGHWAY 125,ELBA,AL,36323,COFFEE COUNTY
34.25,-118.82,207527,Waste,SIMI VALLEY LANDFILL & RECYCLING CENTER,2801 NORTH MADERA ROAD,SIMI VALLEY,CA,93065,VENTURA COUNTY
37.67,-87.28,205893,Waste,WEST DAVIES COUNTY LANDFILL,7772 HWY 815,OWENSBORO,KY,42301,DAVIESS COUNTY
32.96,-96.53,205528.5,Waste,CHARLES M HINTON JR REGIONAL LANDFILL,3175 ELM GROVE RD,ROWLETT,TX,75089,DALLAS COUNTY
45.35,-93.87,204900.5,Waste,Vonco II Landfill,15301 140th Avenue,Becker,MN,55308,SHERBURNE COUNTY
42.16,-83.21,204648.25,Waste,RIVERVIEW LAND PERSERVE,20863 GRANGE ROAD,RIVERVIEW,MI,48192,WAYNE COUNTY
42.76,-82.75,203330,Waste,PINE TREE ACRES INC,36600  29 MILE RD.,LENOX,MI,48048,MACOMB COUNTY
34.56,-84.78,203309,Waste,Gordon County (Redbone Ridges) Landfill,1224 Pleasant Hill Rd. Ext. NE,Ranger,GA,30734,GORDON COUNTY
39.68,-85.73,202042.5,Waste,CGS Services Inc.,2920 E. US 52,MORRISTOWN,IN,46161,SHELBY COUNTY
36.16,-96.19,201293.25,Waste,AMERICAN ENVIRONMENTAL LANDFILL,212 N. 177TH W. AVENUE,SAND SPRINGS,OK,74063,OSAGE COUNTY
39.49,-119.61,196798.25,Waste,REFUSE INC - LOCKWOOD LANDFILL,2401 CANYON WAY,LOCKWOOD,NV,89434,STOREY COUNTY
37.76,-97.39,196379.75,Waste,BROOKS LANDFILL,4100 N WEST ST,WICHITA,KS,67205,SEDGWICK COUNTY
40.50,-105.12,195856.75,Waste,LARIMER COUNTY LANDFILL,5887 SOUTH TAFT HILL ROAD,FORT COLLINS,CO,80526,LARIMER COUNTY
38.90,-83.90,195738.5,Waste,RUMPKE WASTE INC BROWN COUNTY SANITARY LANDFILL *,9427 BEYERS ROAD,GEORGETOWN,OH,45121,BROWN COUNTY
35.01,-106.88,194496.5,Waste,CERRO COLORADO LANDFILL,18000 CERRO COLORADO SW,ALBUQUERQUE,NM,87121,BERNALILLO COUNTY
35.00,-89.91,194224.75,Waste,SOUTH SHELBY LANDFILL,5494 MALONE ROAD,MEMPHIS,TN,38116,SHELBY COUNTY
40.81,-82.87,193790.25,Waste,CRAWFORD COUNTY SANITARY LANDFILL,5128 LINCOLN HIGHWAY EAST,BUCYRUS,OH,44820,CRAWFORD COUNTY
32.53,-99.75,185470.75,Waste,Abilene Regional Landfill,,Abilene,TX,79601,JONES COUNTY
43.09,-77.39,184943.75,Waste,HIGH ACRES LANDFILL & RECYCLING CENTER,425 PERINTON PARKWAY,FAIRPORT,NY,14450,MONROE COUNTY
33.14,-91.97,184717.25,"Pulp and Paper,Waste",GEORGIA-PACIFIC Crossett Paper Operations,100 MILL SUPPLY ROAD,CROSSETT,AR,71635,ASHLEY COUNTY
39.31,-87.34,184596,Waste,Sycamore Ridge Landfill/Victory Landfill,5261 East Cottom Road,Pimento,IN,47866,VIGO COUNTY
39.89,-81.02,180757,Other,Century Mine,43521 Mayhugh Hill Road,Beallsville,OH,43716,BELMONT COUNTY
38.82,-90.01,180423,Waste,ROXANA LANDFILL,4600 CAHOKIA CREEK RD,ROXANA,IL,62084,MADISON COUNTY
42.09,-83.43,179299.75,Waste,Carleton Farms Landfill,28800 CLARK RD,SUMPTER TWP,MI,48164,WAYNE COUNTY
40.16,-74.78,176988.75,Waste,GROWS LDFL WASTE MGMT,1513 BORDENTOWN ROAD,MORRISVILLE,PA,19067,BUCKS COUNTY
34.29,-89.06,176986.25,Waste,"THREE RIVERS SOLID WASTE MANAGEMENT AUTHORITY, THREE RIVERS REGIONAL LANDFILL",1904 PONTOTOC PARKWAY WEST,PONTOTOC,MS,38863,PONTOTOC COUNTY
27.50,-99.40,174249.5,Waste,City of Laredo Landfill,6912 US Hwy 359,Laredo,TX,78044,WEBB COUNTY
30.58,-87.39,172168.5,Waste,PERDIDO LANDFILL CONSTRUCTION - PHASE 5,13009 BEULAH ROAD,CANTONMENT,FL,32533,ESCAMBIA COUNTY
46.88,-96.87,171701.5,Waste,CITY OF FARGO LANDFILL,4501 7TH AVENUE NORTH,FARGO,ND,58102,CASS COUNTY
61.29,-149.60,170532.25,Waste,ANCHORAGE REGIONAL LANDFILL,15500 E. EAGLE RIVER LOOP RD,EAGLE RIVER,AK,99577,ANCHORAGE MUNICIPALITY
34.63,-87.10,169498.25,Waste,Decatur-Morgan County Regional MSW Landfill,500 Landfill Drive,Trinty,AL,35673,MORGAN COUNTY
37.29,-87.05,168392.25,Other,Pride Mine,2802 River Haul Road,Central City,KY,42330,
42.41,-92.33,167365.25,Waste,BLACK HAWK COUNTY SANITARY LANDFILL,1509 EAST WASHBURN ROAD,WATERLOO,IA,50701,BLACK HAWK COUNTY
42.26,-83.43,167322.75,Waste,WASTE MANAGEMENT OF MICHIGAN INCORPORATED,5900 HANNAN ROAD,WAYNE,MI,48184,WAYNE COUNTY
38.85,-104.57,165534,Waste,Colorado Springs Landfill,1010 Blaney Road,Colorado Springs,CO,80929,EL PASO COUNTY
40.67,-79.13,165412.5,Other,Lowry Mine,2389 South Sixth Street,Indiana,PA,15701,INDIANA COUNTY
25.86,-80.35,163784.75,Waste,Medley Landfill,9350 NORTHWEST 89TH STREET,MEDLEY,FL,33178,MIAMI-DADE COUNTY
42.14,-89.09,163734.5,Waste,ADVANCED DISPOSAL ORCHARD HILLS LANDFILL INC,8290 HIGHWAY 251,DAVIS JUNCTION,IL,61020,OGLE COUNTY
30.58,-87.06,163446.75,Waste,SANTA ROSA CENTRAL LANDFILL,6337 DELISA RD.,MILTON,FL,32583,SANTA ROSA COUNTY
34.43,-118.65,163207,Waste,CHIQUITA CANYON SLF,29201 HENRY MAYO DRIVE,CASTAIC,CA,91384,LOS ANGELES COUNTY
35.74,-79.74,162451.75,Waste,Great Oak Landfill,3597 Old Cedar Falls Road,Randleman,NC,27317,RANDOLPH COUNTY
27.76,-82.20,162056.25,Waste,SOUTHEAST COUNTY LANDFILL,15960 CR 672,LITHIA,FL,33547,HILLSBOROUGH COUNTY
35.35,-80.68,160698.25,Waste,Charlotte Motor Speedway Landfill V,5105 MOREHEAD ROAD,CONCORD,NC,28027,CABARRUS COUNTY
30.81,-83.36,160012.5,Waste,ADS-PECAN ROW-EVERGREEN LANDFILLS,2995 WETHERINGTON LANE,VALDOSTA,GA,31601,LOWNDES COUNTY
42.92,-76.85,159017.5,Waste,SENECA MEADOWS SWMF,1786 SALCMAN ROAD,WATERLOO,NY,13165,SENECA COUNTY
35.74,-84.42,158385.75,Waste,Matlock Bend Landfill,21712 Highway 72 North,Loudon,TN,37774,LOUDON COUNTY
35.67,-78.85,157525,Waste,SOUTH WAKE LANDFILL,6300 OLD SMITHFIELD ROAD,APEX,NC,27502,WAKE COUNTY
42.68,-89.03,156800.75,Waste,JANESVILLE CITY/ROCK COUNTY LANDFILL,18 NORTH JACKSON STREET,JANESVILLE,WI,53547,ROCK COUNTY
36.11,-79.72,156615,Waste,CITY OF GREENSBORO WHITE STREET LANDFILL,2503 WHITE STREET,GREENSBORO,NC,27405,GUILFORD COUNTY
38.52,-121.20,154286.75,Waste,KIEFER LANDFILL,12701 KIEFER BLVD,SLOUGHHOUSE,CA,95683,SACRAMENTO COUNTY
38.34,-84.55,153627.75,Waste,Central Kentucky Landfill,493 Double Culvert Road,Georgetown,KY,40324,SCOTT COUNTY
37.46,-121.94,153206.75,Waste,NEWBY ISLAND LANDFILL,1601 DIXON LANDING ROAD,MILPITAS,CA,95035,SANTA CLARA COUNTY
37.72,-121.68,152887.5,Waste,Altamont Landfill & Resource Recovery Facility,10840 Altamont Pass Road,Livermore,CA,94551,ALAMEDA COUNTY
32.84,-117.15,152566,Waste,WEST MIRAMAR SANITARY LANDFILL,5180 CONVOY STREET,SAN DIEGO,CA,92111,SAN DIEGO COUNTY
39.23,-74.77,149402.75,Waste,CAPE MAY COUNTY MUA SECURE LANDFILL,2050 ROUTE 610,WOODBINE,NJ,8270,CAPE MAY COUNTY
34.65,-84.96,149102.75,Waste,DALTON WHITFIELD REGIONAL SW MANAGEMENT,4189 OLD DIXIE HWY SE,DALTON,GA,30721,WHITFIELD COUNTY
33.40,-90.91,149010.25,Waste,BIG RIVER LANDFILL,52 LANDFILL ROAD,LELAND,MS,38756,WASHINGTON COUNTY
37.50,-122.41,148918.5,Waste,Ox Mountain Sanitary Landfill,12310 SAN MATEO ROAD,HALF MOON BAY,CA,94019,SAN MATEO COUNTY
33.59,-86.82,148859.75,Waste,"NEW GEORGIA LANDFILL, BIRMINGHAM",2500 47TH AVENUE NORTH,BIRMINGHAM,AL,35217,JEFFERSON COUNTY
40.56,-89.75,148850.25,"Metals,Waste",CATERPILLAR INC.-MAPLETON,8826 WEST ROUTE 24,MAPLETON,IL,61547,PEORIA COUNTY
33.17,-86.69,148553.75,Waste,SHELBY COUNTY HIGHWAY 70 LANDFILL,401 Landfill Road,COLUMBIANA,AL,35051,SHELBY COUNTY
36.14,-77.22,148173,"Other,Waste",PERDUE FARMS INC,3539 GOVERNORS RD,LEWISTON,NC,27849,BERTIE COUNTY
34.85,-91.59,148166.5,Waste,"ROLLING MEADOWS LANDFILL, INC.",HARMIC ROAD,HAZEN,AR,72064,PRAIRIE COUNTY
43.06,-77.93,147287.5,Waste,RIGA/MILL SEAT LANDFILL,303 BREW ROAD,BERGEN,NY,14416,MONROE COUNTY
29.12,-82.06,146858,Waste,MARION COUNTY BASELINE LANDFILL SOLID WASTE TRANSFER STATION,5601 SOUTHEAST 66TH STREET,OCALA,FL,34480,MARION COUNTY
42.92,-82.59,146785,Waste,SMITHS CREEK LANDFILL,6779 Smiths Creek Road,Smiths Creek,MI,48074,ST. CLAIR COUNTY
44.51,-88.13,146245.25,Waste,Georgia-Pacific Broadway LLC,,Green Bay,WI,54307,BROWN COUNTY
43.63,-84.17,145421.5,Waste,CITY OF MIDLAND MUNICIPAL SOLID WASTE FACILITY,4311 E. ASHMAN ST.,MIDLAND,MI,48642,MIDLAND COUNTY
36.54,-87.54,145347.75,Waste,BI-COUNTY SOLID WASTE MANAGEMENT SYSTEMS,3212 Dover Road,Woodlawn,TN,37191,MONTGOMERY COUNTY
28.98,-95.35,143991,"Chemicals,Other,Petroleum and Natural Gas Systems,Waste",DOW TEXAS OPERATIONS FREEPORT,2301 N. BRAZOSPORT BLVD. BUILDING B-101,FREEPORT,TX,77541,BRAZORIA COUNTY
33.87,-98.65,143776.25,Waste,City of Wichita Falls Landfill,10984 Wiley Road,Wichita Falls,TX,76307,WICHITA COUNTY
35.51,-97.42,143376,Waste,WASTE MGMT OF OK/EAST OAK LNDFLL,3201 MOSLEY ROAD,OKLAHOMA CITY,OK,73141,OKLAHOMA COUNTY
32.65,-97.24,142161,Waste,CITY OF FORT WORTH SOUTHEAST LANDFILL,6288 Salt Road,KENNEDALE,TX,76140,TARRANT COUNTY
32.06,-81.21,141320.75,Waste,SAVANNAH-DEAN FOREST ROAD LANDFILL,1327 DEAN FOREST RD,SAVANNAH,GA,31405,CHATHAM COUNTY
43.61,-116.58,140829.5,"Minerals,Waste",AMALGAMATED SUGAR CO LLC,138 WEST KARCHER ROAD,NAMPA,ID,83687,CANYON COUNTY
31.41,-89.09,140827,Waste,Pine Belt Regional Solid Waste Management Authority,5274 Highway 29,Ovett,MS,39464,PERRY COUNTY
33.02,-96.96,140779.5,Waste,DFW RECYCLING AND DISPOSAL FACILITY,1600 SOUTH RAILROAD STREET,LEWISVILLE,TX,75067,DENTON COUNTY
30.34,-93.84,140455.25,Waste,Newton County Landfill,2372 County Road 3870,Deweyville,TX,77614,NEWTON COUNTY
31.08,-87.12,139500.5,"Pulp and Paper,Waste",GEORGIA-PACIFIC BREWTON LLC,32224 HIGHWAY 31 SOUTH,BREWTON,AL,36426,ESCAMBIA COUNTY
28.67,-82.48,139251,Waste,HERNANDO COUNTY NW LANDFILL,14450 LANDFILL RD,BROOKSVILLE,FL,34614,HERNANDO COUNTY
31.49,-97.23,138575.5,Waste,City of Waco Landfill,11400 Old McGregor Road,Waco,TX,76712,MCLENNAN COUNTY
43.27,-70.99,138168.25,Waste,WM of NH - TREE (Turnkey Landfill),90 Rochester Neck Road,Gonic,NH,3839,STRAFFORD COUNTY
36.99,-85.97,137760.75,Waste,GLASGOW LANDFILL,400 GLEN GARRY RD,GLASGOW,KY,42141,BARREN COUNTY
37.06,-77.18,136985,Waste,ATLANTIC WASTE DISPOSAL INC - SUSSEX COUNTY LAND,3474 ATLANTIC LN,WAVERLY,VA,23890,SUSSEX COUNTY
41.35,-88.10,136913.5,Waste,PRAIRIE VIEW RECYCLING & DISPOSAL FAC,29755 S PRAIRIE VIEW DR,WILMINGTON,IL,60481,WILL COUNTY
28.06,-81.10,136568.25,Waste,J.E.D. SOLID WASTE MANAGEMENT FACILITY,1501 OMNI WAY,ST. CLOUD,FL,34773,OSCEOLA COUNTY
31.24,-85.36,136287.25,Waste,City of Dothan Sanitary Landfill,1290 Burkett Road,Dothan,AL,36303,HOUSTON COUNTY
